0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2.5,6.25,15.625,0,0,0,0,0,0,0,30.5,0,0,0,0,0.999851839,0.017213356,0.999407401,0.034421612,0.998666816,0.051619667,0.997630305,0.068802427,0.996298175,0.085964799,0.99467082,0.103101697,0.992748722,0.120208045,0.990532452,0.137278772,0.988022666,0.154308821,0,0,0,0,0,0.01,-4.605170186,47.2
3.05,9.3025,28.372625,2.82,0,0,0,0.55,0.3025,0.166375,30.5,0,0,0,0,0.97874008,0.2051045,0.97874008,0.2051045,0.97874008,0.2051045,0.915864288,0.401487989,0.869589389,0.49377555,0.814046094,0.580800273,0.749826401,0.661634618,0.677614789,0.735417023,0.598180914,0.801361088,0,0,0,0,0,0.06,-2.813410717,48.4
3.89,15.1321,0,3.72,3.18,0,0,0.84,0.7056,0.592704,29.5,29.35714286,0,0,0,0.97874008,0.401487989,0.915864288,0.401487989,0.915864288,0.401487989,0.677614789,0.735417023,0.512371412,0.858763958,0.325342085,0.945596387,0.124479264,0.992222209,-0.081676395,0.996658902,-0.284359187,0.958717817,0,0,0,0,0,0.12,-2.120263536,50.1
4.16,17.3056,0,4.39,4.142,3.26625,0,0.27,0.0729,0.019683,21.5,28.14285714,0,0,0,0.946987753,0.60847687,0.793571609,0.60847687,0.793571609,0.60847687,0.259511797,0.965739938,-0.064508449,0.997917161,-0.38168922,0.924290722,-0.658401585,0.752666828,-0.865307254,0.501241813,-0.98046916,0.19667289,0,0,0,0,0,0.19,-1.660731207,48.9
4.46,19.8916,0,4.39,4.242,4.16,0,0.3,0.09,0.027,29,25.07142857,0,0,0,0.901501684,0.780295851,0.625410573,0.780295851,0.625410573,0.780295851,-0.21772323,0.976010551,-0.618671403,0.785649855,-0.897743394,0.440518784,-0.999962959,0.008606997,-0.90519319,-0.42500034,-0.632103411,-0.774884041,0,0,0,0,0,0.26,-1.347073648,48.1
4.51,20.3401,0,4.405,4.404,4.28875,3.606,0.05,0.0025,0.000125,28.5,27,27.52173913,0,0,0.842941537,0.907013813,0.421100871,0.907013813,0.421100871,0.907013813,-0.645348113,0.763888613,-0.954966755,0.296712819,-0.964614176,-0.263665493,-0.671259958,-0.741222011,-0.167051626,-0.98594815,0.38963045,-0.920971288,0,0,0,0,0,0.33,-1.108662625,47.2
4.12,16.9744,0,4.18,4.404,4.405,4.167333333,-0.39,0.1521,-0.059319,25.5,26.92857143,26.93478261,0,0,0.772156584,0.98130647,0.192451582,0.98130647,0.192451582,0.98130647,-0.925924777,0.377707965,-0.954966755,-0.296712819,-0.548842958,-0.835925479,0.107381347,-0.994217907,0.714673386,-0.699458327,0.996298175,-0.085964799,0,0,0,0,0,0.4,-0.916290732,46.4
3.95,15.6025,0,3.98,4.058,4.3125,4.342666667,-0.17,0.0289,-0.004913,25.5,24.14285714,26.13043478,0,0,0.677614789,0.996658902,-0.081676395,0.996658902,-0.081676395,0.996658902,-0.986657933,-0.162807013,-0.548842958,-0.835925479,0.242849722,-0.970063922,0.877960085,-0.47873384,0.946987753,0.321269662,0.405425728,0.914127988,0,0,0,0,0,0.48,-0.733969175,46.7
3.41,11.6281,0,3.635,3.86,4.025,4.355333333,-0.54,0.2916,-0.157464,18,21.64285714,25.97826087,0,0,0.570242293,0.936881346,-0.349647455,0.936881346,-0.349647455,0.936881346,-0.755493314,-0.655156357,0.107381347,-0.994217907,0.877960085,-0.47873384,0.893918597,0.448229342,0.141540295,0.989932495,-0.732494072,0.680773409,0,0,0,0,0,0.56,-0.579818495,47.2
3.68,13.5424,0,3.66,3.5,3.8675,4.214666667,0.27,0.0729,0.019683,23.5,17.92857143,24.69565217,27.46666667,0,0.482507742,0.845249057,-0.534372558,0.845249057,-0.534372558,0.845249057,-0.428891938,-0.903355802,0.584298174,-0.811539059,0.992748722,0.120208045,0.373719715,0.927541684,-0.632103411,0.774884041,-0.983709294,-0.179766586,0,0,0,0,0,0.62,-0.478035801,48.9
